,avg_screens,budget,budget_currency,closing_date,critic_review_count,duration,gross_income,max_screens,metascore,name,num_weekends,opening_weekend_date,opening_weekend_income,opening_weekend_income_currency,rating,rating_count,release_day,release_month,release_year,user_review_count,year,avg_rating_per_demo.aged_18-29,avg_rating_per_demo.aged_30-44,avg_rating_per_demo.aged_45+,avg_rating_per_demo.aged_under_18,avg_rating_per_demo.females,avg_rating_per_demo.females_aged_18-29,avg_rating_per_demo.females_aged_30-44,avg_rating_per_demo.females_aged_45+,avg_rating_per_demo.females_under_18,avg_rating_per_demo.imdb_staff,avg_rating_per_demo.imdb_users,avg_rating_per_demo.males,avg_rating_per_demo.males_aged_18-29,avg_rating_per_demo.males_aged_30-44,avg_rating_per_demo.males_aged_45+,avg_rating_per_demo.males_under_18,avg_rating_per_demo.non-us_users,avg_rating_per_demo.top_1000_voters,avg_rating_per_demo.us_users,votes_per_demo.aged_18-29,votes_per_demo.aged_30-44,votes_per_demo.aged_45+,votes_per_demo.aged_under_18,votes_per_demo.females,votes_per_demo.females_aged_18-29,votes_per_demo.females_aged_30-44,votes_per_demo.females_aged_45+,votes_per_demo.females_under_18,votes_per_demo.imdb_staff,votes_per_demo.imdb_users,votes_per_demo.males,votes_per_demo.males_aged_18-29,votes_per_demo.males_aged_30-44,votes_per_demo.males_aged_45+,votes_per_demo.males_under_18,votes_per_demo.non-us_users,votes_per_demo.top_1000_voters,votes_per_demo.us_users,rating_freq.1,rating_freq.10,rating_freq.2,rating_freq.3,rating_freq.4,rating_freq.5,rating_freq.6,rating_freq.7,rating_freq.8,rating_freq.9,genres.action,genres.adventure,genres.animation,genres.biography,genres.comedy,genres.crime,genres.drama,genres.family,genres.fantasy,genres.history,genres.horror,genres.music,genres.mystery,genres.romance,genres.sci-fi,genres.sport,genres.thriller,genres.war,genres.western
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,45.0,4000000.0,$,2014-04-18,94.0,93.0,9134.0,45.0,44.0,13 Sins,1.0,2014-04-18,9134.0,$,6.3,25003.0,,,,69.0,2014.0,6.4,6.2,6.3,7.3,6.4,6.5,6.3,6.5,7.6,7.0,6.3,6.3,6.4,6.2,6.3,7.3,6.2,5.8,6.4,8552.0,10047.0,2248.0,57.0,3955.0,1875.0,1522.0,323.0,11.0,4.0,25003.0,17736.0,6590.0,8408.0,1883.0,45.0,12933.0,230.0,3840.0,338.0,1250.0,279.0,545.0,1252.0,3343.0,6974.0,6957.0,3086.0,979.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,2605.375,50000000.0,$,2014-11-07,334.0,112.0,191616238.0,3426.0,71.0,22 Jump Street,8.0,2014-06-13,57071445.0,$,7.1,273497.0,13.0,June,2014.0,322.0,2014.0,7.3,6.7,6.3,7.9,7.1,7.3,6.8,6.3,8.2,6.1,7.1,7.0,7.3,6.7,6.3,7.9,6.9,6.2,7.2,128508.0,64904.0,8998.0,2279.0,39939.0,25616.0,8816.0,1378.0,622.0,16.0,273497.0,180084.0,101574.0,55252.0,7467.0,1636.0,118914.0,507.0,35089.0,2877.0,25649.0,1900.0,3163.0,6608.0,16733.0,43608.0,81556.0,64839.0,26564.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1891.8333333333333,110000000.0,$,2014-05-16,366.0,102.0,106369117.0,3490.0,48.0,300: Rise of an Empire,12.0,2014-03-07,45038460.0,$,6.2,234044.0,7.0,March,2014.0,531.0,2014.0,6.3,6.1,6.1,6.7,6.3,6.3,6.2,6.2,6.7,6.3,6.2,6.2,6.3,6.1,6.1,6.7,6.1,5.7,6.2,95931.0,73794.0,11599.0,696.0,20192.0,10391.0,6926.0,1213.0,80.0,11.0,234044.0,174014.0,84677.0,65836.0,10187.0,613.0,110461.0,496.0,22596.0,10041.0,15913.0,4188.0,7254.0,13791.0,29162.0,53093.0,56396.0,31512.0,12694.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,938.75,28000000.0,$,2014-05-09,214.0,117.0,30688364.0,2872.0,40.0,3 Days to Kill,12.0,2014-02-21,12242218.0,$,6.2,72224.0,21.0,February,2014.0,217.0,2014.0,6.3,6.0,6.3,6.7,6.3,6.4,6.2,6.5,6.7,6.1,6.2,6.2,6.3,6.0,6.3,6.7,6.1,5.7,6.1,21121.0,28294.0,8309.0,184.0,7655.0,3014.0,2898.0,1088.0,41.0,6.0,72224.0,53551.0,17901.0,25053.0,7075.0,142.0,36104.0,378.0,9725.0,1166.0,3510.0,1136.0,2122.0,4306.0,9562.0,19754.0,19379.0,8575.0,2714.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,29.0,10000000.0,$,2014-10-10,8.0,110.0,1063723.0,133.0,37.0,50 to 1,14.0,2014-03-28,39638.0,$,6.6,1476.0,,,,53.0,2014.0,6.5,6.1,6.7,,7.6,6.8,7.4,8.1,,,6.6,6.2,6.4,5.9,6.3,,6.2,5.1,6.7,174.0,453.0,531.0,,455.0,55.0,146.0,234.0,,,1476.0,744.0,117.0,304.0,289.0,,478.0,48.0,404.0,36.0,429.0,25.0,38.0,56.0,123.0,231.0,277.0,169.0,92.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,1303.6,4000000.0,$,2014-06-06,68.0,86.0,17314483.0,2310.0,17.0,A Haunted House 2,5.0,2014-04-18,8843875.0,$,4.7,15384.0,18.0,April,2014.0,50.0,2014.0,5.0,4.3,4.0,5.7,4.8,5.0,4.5,4.1,5.9,,4.7,4.6,4.9,4.3,4.0,5.7,4.5,3.9,4.4,6934.0,4098.0,788.0,159.0,1930.0,1155.0,499.0,103.0,31.0,,15384.0,10822.0,5717.0,3558.0,673.0,128.0,6450.0,174.0,2590.0,1665.0,1617.0,1095.0,1381.0,1920.0,2699.0,2178.0,1533.0,896.0,400.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,1803.1666666666667,40000000.0,$,2014-07-11,307.0,116.0,42615685.0,3160.0,44.0,A Million Ways to Die in the West,6.0,2014-05-30,16797385.0,$,6.1,142196.0,30.0,May,2014.0,423.0,2014.0,6.2,6.0,5.9,6.6,6.2,6.2,6.0,5.9,7.0,5.7,6.1,6.1,6.2,6.0,5.9,6.5,6.1,5.5,5.9,57106.0,45602.0,9419.0,660.0,18353.0,9884.0,5741.0,1185.0,143.0,13.0,142196.0,100968.0,46650.0,39301.0,8077.0,511.0,68083.0,467.0,19141.0,4509.0,8734.0,3346.0,5390.0,9568.0,18680.0,33201.0,34008.0,18004.0,6756.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
8,2714.0,28000000.0,$,2014-10-17,255.0,114.0,25977365.0,2714.0,57.0,A Walk Among the Tombstones,1.0,2014-09-19,12758780.0,$,6.5,92096.0,19.0,September,2014.0,208.0,2014.0,6.6,6.5,6.6,7.1,6.5,6.5,6.5,6.8,7.1,6.8,6.5,6.5,6.6,6.5,6.6,7.1,6.5,6.4,6.7,29475.0,34601.0,8820.0,237.0,9317.0,3784.0,3595.0,1127.0,44.0,12.0,92096.0,68129.0,25433.0,30594.0,7560.0,192.0,46350.0,431.0,11509.0,830.0,3564.0,594.0,1154.0,3038.0,9579.0,26578.0,31391.0,12151.0,3217.0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
9,778.0909090909091,12500000.0,$,2014-04-25,90.0,100.0,48637684.0,2253.0,62.0,About Last Night,11.0,2014-02-14,27838201.0,$,6.1,17773.0,14.0,February,2014.0,42.0,2014.0,6.3,5.9,5.6,7.1,6.3,6.4,6.0,6.2,6.8,5.3,6.1,6.0,6.2,5.8,5.4,7.3,5.9,5.0,6.2,7610.0,5044.0,1088.0,62.0,4564.0,2617.0,1250.0,284.0,28.0,3.0,17773.0,10208.0,4912.0,3739.0,784.0,34.0,7509.0,158.0,3056.0,546.0,1389.0,296.0,499.0,1074.0,2461.0,4796.0,4045.0,1886.0,781.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
